Sr No.,Location,Description,LIT,Size,Link,Image Name
,,,,,,
2,Banjara Hills ,opp. City cr ftf. GVK,LIT,40x40,http://www.prakasharts.com/code/2852.Banajara Hills Road No 1 Fg GVK 40 X 40_SCULLERS.JPG,1_O51492_thumb_front.jpg
,Banjara Hills ,opp. City Cr ftf.    Care Hospital,LIT,35x40,http://www.prakasharts.com/code/2853.Banjarahills fg;masabtank 35x40 -SPICE JET-2.JPG,1_O51493_thumb_front.jpg
4,Banjara Hills ,opp. GVK ftf.    Tajkrishna  (Left),LIT,40x40,http://www.prakasharts.com/code/2854. Banjarahills Opp.GVK ftf. Taj Krishna (Left) 40x40_SHREE JEWLERY.JPG,1_O51494_thumb_front.jpg
5,Banjara Hills ,opp. GVK ftf.    GVK  (Right) (30 x 15),LIT,40x40,http://www.prakasharts.com/code/2855. Banjarahills  Opp. GVK  ftf. Taj Krishna (Right) 40x40-JSPL.JPG,1_O51495_thumb_front.jpg
6,Banjara Hills ,Srinagar Col x Rds    TV9; adj. IOC ftf. Nag. Cr,LIT,40x40,http://www.prakasharts.com/code/2856.Banjara Hills Nr. Tv9 Fg; Nagarjuna Cr 40x40 copy.jpg,1_O51496_thumb_front.jpg
7,Banjara Hills ,Srinagar Col x Rds    TV9; Ftf KBR Park,LIT,40x25,http://www.prakasharts.com/code/2857.Banjara Hills Nr. Tv9 Fg; Nagarjuna Cr 40x25.jpg,1_O51497_thumb_front.jpg
8,Basheerbagh,adj. flyover; opp.    Shanbagh ftf. Nizam College,LIT,40x30,http://www.prakasharts.com/code/2862.Basheerbagh fo fg Abids 40x40.JPG,1_O51498_thumb_front.jpg
9,Basheerbagh,adj. flyover; opp.    Shanbagh ftf. Liberty cr,LIT,40x40,http://www.prakasharts.com/code/2863.basheerbagh flyover fg Liberty 40x40.JPG,1_O51499_thumb_front.jpg
10,Begumpet,opp. Varun Towers;    temple ftf. Airport,LIT,40x40,http://www.prakasharts.com/code/2864.Begumpet Temple FLYOVER  fg Old Airport 40x40.JPG,1_O51500_thumb_front.jpg
11,Begumpet,opp. Varun Towers;    temple ftf. Flyover,LIT,40x40,http://www.prakasharts.com/code/2865.Begumpet Temple Fg; Greenlands 40x40.JPG,1_O51501_thumb_front.jpg
12,Begumpet,Country Club ftf.    Life Style; Greenlands,LIT,40x40,http://www.prakasharts.com/code/2866.Begumpet fo fg. Lifestyle 40x40.JPG,1_O51502_thumb_front.jpg
13,Begumpet,Country Club ftf.    Airport,LIT,40x40,http://www.prakasharts.com/code/2866.Begumpet fo fg. Lifestyle 40x40.JPG,1_O51503_thumb_front.jpg
18,Begumpet,Rly stn PF 1 side;    ftf. Airport,LIT,40x40,http://www.prakasharts.com/code/2867.Begumpet Fo Fg; Old Airport 40x40_Sree nidhi,1_O51504_thumb_front.jpg
19,Jubilee Hills,Rd # 36; ftf.    Chekpost,LIT,40x40,http://www.prakasharts.com/code/2873.Jubilee hills Rd No 36 Fg Jubile Hills 40x40_LEE.JPG,1_O51505_thumb_front.jpg
20,Jubilee Hills,Rd # 36; ftf. Hitech    city,LIT,40x40,http://www.prakasharts.com/code/4660     Jubileehills 40x40 fg Hitech City (6).JPG,1_O51506_thumb_front.jpg
21,Jubilee Hills,Rd # 36 nr MOR  ftf. Checkpost,LIT,40x40,http://www.prakasharts.com/code/2874.Jubleehills RD NO36 40x40 (1)_800_600.JPG,1_O51507_thumb_front.jpg
22,Jubilee Hills,Rd # 36 nr MOR ftf.    Madapur,LIT,40x40,http://www.prakasharts.com/code/2875.Jubilee Hills rd No; 36 MOR fg. Hitech city 40x40_BARCLAYS.JPG,1_O51508_thumb_front.jpg
23,Jubilee Hills,Rd.# 36;  Barista ftf. Cybercity,LIT,40x40,http://www.prakasharts.com/code/2876.Jubleehills Barista fg;Madhapur 40x40_DOVE.JPG,1_O51509_thumb_front.jpg
24,Jubilee Hills,Rd.# 36;  Barista ftf. Checkpst ,LIT,40x40,http://www.prakasharts.com/code/2877.Jubilee hills Adj; Barista fg; Checkpost 40x40_Sri Chaitanya.JPG,1_O51510_thumb_front.jpg
25,Jubilee Hills,Kavuri Hills near    Srinidhi School ftf. Peddamma Temple,LIT,40x40,http://www.prakasharts.com/code/2878.Kavuri Hills 40x40.JPG,1_O51511_thumb_front.jpg
26,Jubilee Hills,Kavuri Hills near    Srinidhi School ftf. Kavuri Hills,LIT,40x40,http://www.prakasharts.com/code/4661      Kavur hills fg;   Kavur hills 40x40.JPG,1_O51512_thumb_front.jpg
27,Jubilee Hills,Kavuri Hills near    Arch ftf. Checkpost; Peddamma Tmpl,LIT,40x40,http://www.prakasharts.com/code/2879.Kaverihills fg;Jubleehills Chekpost 40x40_MTS Mobiles.JPG,1_O51513_thumb_front.jpg
28,Jubilee Hills,Kavuri Hills near    Arch ftf. Madapur Pol st; Hitec city,LIT,30x40,http://www.prakasharts.com/code/2880.Madhapur At Kavuri Hills Fg Hitech City 30x40.JPG,1_O51514_thumb_front.jpg
29,K B R Park,near APP Labs ftf.    Checkpost,LIT,40x40,http://www.prakasharts.com/code/2883.KBR Park Adj; Aplabs  fg. checkpost 40 x 40_airtel.JPG,1_O51515_thumb_front.jpg
30,K B R Park,near APP Labs ftf. LV    Prasad / Nagarjuna cr,LIT,40x40,http://www.prakasharts.com/code/2884.KBR Park fg;Punjagutta 40x40 (1).JPG,1_O51516_thumb_front.jpg
31,K B R Park,Opp: Applabs ftf :    Nagarjuna cr,LIT,40x40,http://www.prakasharts.com/code/KBR Park opp.Aplabs fcg. Nagarjuna cr - 40 x 40.jpg,1_O51517_thumb_front.jpg
32,K B R Park,Opp: Applabs ftf :    Checkpost,LIT,40x40,http://www.prakasharts.com/code/Kbr park opp;app labs fg;Checkpost_800x600.jpg,1_O51518_thumb_front.jpg
33,Khairatabad,Intellegence off;    ftf. Eenadu; RTA Office,LIT,40x20,http://www.prakasharts.com/code/2885.Khairathabad 40x40_Santoor.JPG,1_O51519_thumb_front.jpg
34,Khairatabad,Intellegence off;    ftf. Khairatabad Circle,LIT,40x20,http://www.prakasharts.com/code/2886.Khairathabad XRD 40x20.JPG,1_O51520_thumb_front.jpg
35,Khairatabad,adj. Rly station ftf.    Flyover / Imax,LIT,40x40,http://www.prakasharts.com/code/2987 Airport_1  Airport Road Opp. Ashram2 fg. City 40x40 _4.JPG,1_O51521_thumb_front.jpg
36,Khairatabad,adj. Rly station ftf.    Panjagutta,LIT,40x40,http://www.prakasharts.com/code/2888.Khairtabad Junction Fg Punjagutta 40x40_2.JPG,1_O51522_thumb_front.jpg
37,Kothi,Womens College ftf.    Bank Street,LIT,40x40,http://www.prakasharts.com/code/2890.Kothi womens college Unipole Fg bank Street 40x40_SBI.JPG,1_O51523_thumb_front.jpg
38,Kothi,Womens College ftf.    Marathi Library,LIT,40x30,http://www.prakasharts.com/code/2891.  Koti 40x30.jpg,1_O51524_thumb_front.jpg
39,Kukatpally,Bharatnagar flyvoer    ftf. Moosapet,LIT,40x40,http://www.prakasharts.com/code/2892.Moosapet fg;KPHB 40x40 (2).JPG,1_O51525_thumb_front.jpg
40,Kukatpally,Bharatnagar flyvoer    ftf. Erragadda,LIT,40x40,http://www.prakasharts.com/code/2893.Moosapet flyover Fg; Ameerpet 40X40_Appolo.JPG,1_O51526_thumb_front.jpg
47,Madhapur,near NIFT fg. Hitec    city,LIT,40x40,http://www.prakasharts.com/code/2900. Hitechcity 40x40 -TOI.JPG,1_O51527_thumb_front.jpg
48,Madhapur,near NIFT fg. Jubilee    Hills,LIT,40x40,http://www.prakasharts.com/code/2901.Madhapur NIFT Premises Fg; Madhapur 40x40_Sujana Plus-3.JPG,1_O51528_thumb_front.jpg
49,Masabtank,adj: Flyover; ftf:    Mehidipatnam,LIT,40x20,http://www.prakasharts.com/code/2902.Masabtank fo fg;NMDC 40x20_Yashoda-3.JPG,1_O51529_thumb_front.jpg
50,Masabtank,adj: Flyover; ftf:    Lakdikapool,LIT,40x20,http://www.prakasharts.com/code/2903.Masabtank fg; Lakdikapul 40x20_Apollo.JPG,1_O51530_thumb_front.jpg
51,Necklace Road,MMTS Station ftf.    Sanjivaiah Park            [1],LIT,30x30,http://www.prakasharts.com/code/2904.Necklacerd Fg;sanjeevaiah Park 30x30 -DOVE.JPG,1_O51531_thumb_front.jpg
52,Necklace Road,MMTS Station ftf.    IMAX                             [1],LIT,30x30,http://www.prakasharts.com/code/2905.Necklace Rd fg. Imax 30x30 --TVS.jpg,1_O51532_thumb_front.jpg
53,Necklace Road,MMTS Station ftf.    Sanjivaiah Park            [2],LIT,30x30,http://www.prakasharts.com/code/2906.Necklacerd fg;Sec;30x30.JPG,1_O51533_thumb_front.jpg
54,Necklace Road,MMTS Station ftf.    IMAX                             [2],LIT,30x30,http://www.prakasharts.com/code/2907. .Necklacerd fg;Imax 30x30 _RADIO MIRCHI.JPG,1_O51534_thumb_front.jpg
55,Nizam Club,ftf. Lakdikapool;    Ravindrabharti,LIT,40x40,http://www.prakasharts.com/code/2908.Nizamclub Opp.Ravindrabharathi 40x40 (1).JPG,1_O51535_thumb_front.jpg
56,Nizam Club,ftf. Lakdikapool;    Ravindrabharti,LIT,40x40,http://www.prakasharts.com/code/2908.Nizamclub Opp.Ravindrabharathi 40x40 (1).JPG,1_O51536_thumb_front.jpg
57,Nizam College,ftf: Public Gardens;    LB Stadium,LIT,50x20,http://www.prakasharts.com/code/2909.Nizam collage unipole 50x20.JPG,1_O51537_thumb_front.jpg
58,Nizam College,ftf: Abids GPO,LIT,40x20,http://www.prakasharts.com/code/2910.Nizamcollege FG;Abids 40x20_Ponds.JPG,1_O51538_thumb_front.jpg
59,Nizam College,ftf: Abids GPO,LIT,40x30,http://www.prakasharts.com/code/2911.Nizamcollege fg;Abids 40x30 (3).JPG,1_O51539_thumb_front.jpg
60,Panjagutta,Pol. Stn ftf.    Somajiguda,LIT,80x20,http://www.prakasharts.com/code/2912.Punjagutta  police stn ftf; somajiguda 80x20.JPG,1_O51540_thumb_front.jpg
61,Panjagutta,ColonyTemple ftf.    Pol. Station; NIMS,LIT,40x30,http://www.prakasharts.com/code/2913.Punjagutta Srinagar Colony Fg  Punjagutta 40x30_3.JPG,1_O51541_thumb_front.jpg
62,Panjagutta,Colony Temple ftf.    Ameerpet; BIG BAZAR,LIT,40x30,http://www.prakasharts.com/code/2914.Punjagutta at Srinagar Colony Fg Ameerpet 40x30_Radio Mirchi.JPG,1_O51542_thumb_front.jpg
63,Panjagutta,ColonyTemple ftf.    Srinagar colony,C,12x30,http://www.prakasharts.com/code/2915.Punjagutta At Srinagar Colony Fg Srinagar Colony 12x30_Bright.jpg,1_O51543_thumb_front.jpg
64,Patny x Roads ,Mahboob College ftf.    Clocktwr,LIT,40x40,http://www.prakasharts.com/code/2916.Patny Cr fg. clock tower 40x40_MTS Mobile.JPG,1_O51544_thumb_front.jpg
65,Patny x Roads ,Mahboob College ftf.    Jn; SD Rd,LIT,40x40,http://www.prakasharts.com/code/2917.Patny Circle Fg; Junction 40x40_JOYALUKAS.JPG,1_O51545_thumb_front.jpg
66,Public Gardens,Police Control Room    ftf. R'bharati,LIT,50x20,http://www.prakasharts.com/code/2918Police Controll Room Fg Ravindra Bharathi 50x20_2.JPG,1_O51546_thumb_front.jpg
67,Public Gardens,Police Control Room    ftf. Nampally,LIT,50x20,http://www.prakasharts.com/code/2919.Police Control Room fg. Nampally 50x20.JPG,1_O51547_thumb_front.jpg
68,S P Road,PG College; Paradise    flyover; ftf: Airport,LIT,40x40,http://www.prakasharts.com/code/2920.Paradise Flyover Fg Old Airport 40x40_Yashoda-2.jpg,1_O51548_thumb_front.jpg
69,S P Road,PG College; Paradise    flyover; ftf: Paradegrnds,LIT,40x40,http://www.prakasharts.com/code/2921.paradise Flyover fg YMCA 40x40_APPOLLO_2.JPG,1_O51549_thumb_front.jpg
70,S P Road,opp. Anand VH Temple;    ftf. Airport,LIT,40x40,http://www.prakasharts.com/code/S P road Opp;Anand fg. Old Airport 40x40_King Fisher.JPG,1_O51550_thumb_front.jpg
71,S P Road,opp. Anand VH Temple;    ftf. CTO flyover,LIT,40x40,http://www.prakasharts.com/code/2923.S.P.Road Opp; Anand Fg; YMCA 40X40_Sujana Plus.JPG,1_O51551_thumb_front.jpg
72,S P Road,Rasoolpura Jn; ftf.    Paradise,LIT,50x60,http://www.prakasharts.com/code/2924.S P Road At Police Line x Roads Fg Paradise 50X60_TOI.JPG,1_O51552_thumb_front.jpg
74,S P Road,Rasoolpura Jn ftf.    Minister Rd,LIT,50x20,http://www.prakasharts.com/code/2926.SP Road Police Lines Rasoolpura Fg; Minister Road 50x20_MTS Mobile.JPG,1_O51553_thumb_front.jpg
75,Sangeet Cr,Rly. Guest House;    ftf: Clocktower,LIT,40x40,http://www.prakasharts.com/code/2928.Sangeeth x 40x40_Uninor-2.JPG,1_O51554_thumb_front.jpg
77,Shamshabad Airport Rd,Aramgarh - opp.    Parivar dhaba ftf. Jn; Hyd,LIT,40x40,http://www.prakasharts.com/code/2933. Shamshabad Airport Rd Near Armghar fg Aramghar 40x40.JPG,1_O51555_thumb_front.jpg
78,Shamshabad Airport Rd,Aramgarh - opp.    Parivar dhaba ftf. Airport; Bnglr,LIT,40x40,http://www.prakasharts.com/code/2934. Aramgar; shivarampally 40x40 fg;shamshaba_vasan.JPG,1_O51556_thumb_front.jpg
79,Shamshabad Airport Rd,NH-7 Gaganpahad nr HP    Bunk,LIT,40x40,http://www.prakasharts.com/code/2936. Aiport Road Gaganpahad fg; City 40x40_INDIAN OVERSEAS BANK.JPG,1_O51557_thumb_front.jpg
80,Shamshabad Airport Rd,NH-7 Gaganpahad nr HP    Bunk,LIT,40x40,http://www.prakasharts.com/code/2935.  Aiport Road Gaganpahad fg;Airport 40x40_Sujana Plus.JPG,1_O51558_thumb_front.jpg
,Shamshabad Airport Rd,NH-7 Gaganpahad    Sunder Steel fg. Hyd,LIT,40x40,http://www.prakasharts.com/code/2937 Shamshabad RD Shatam Rai Fg; City 40x40.JPG,1_O51559_thumb_front.jpg
,Shamshabad Airport Rd,NH-7 Gaganpahad    Sunder Steel fg. Airport,LIT,40x40,http://www.prakasharts.com/code/2938- Shamshabad Highway Sundeer steel  FG; Airport 40x40.JPG,1_O51560_thumb_front.jpg
81,Shamshabad Airport Rd,NH-7 Gaganpahad Ram    Dharma Kanta ftf. Hyd,LIT,40x40,http://www.prakasharts.com/code/2939. Shamshabad Towards fg. City 40x40.JPG,1_O51561_thumb_front.jpg
82,Shamshabad Airport Rd,NH-7 Gaganpahad Ram    Dharma Kanta ftf. Airport,LIT,40x40,http://www.prakasharts.com/code/2940. Shamshabad Towards City fg. Airport 40x40.JPG,1_O51562_thumb_front.jpg
83,Shamshabad Airport Rd,NH-7 Shatamrai ftf.    Airport /Sham'bad (Shed),LIT,40x40,http://www.prakasharts.com/code/2949.JPG,1_O51563_thumb_front.jpg
84,Shamshabad Airport Rd,NH-7 Shatamrai ftf.    Hyd / Shivrampally (Shed),LIT,40x40,http://www.prakasharts.com/code/2950.JPG,1_O51564_thumb_front.jpg
85,Shamshabad Airport Rd,NH-7 Shatamrai ftf.    Airport /Sham'bad (Nursery),LIT,40x40,http://www.prakasharts.com/code/2951.JPG,1_O51565_thumb_front.jpg
86,Shamshabad Airport Rd,NH-7 Shatamrai ftf.    Hyd / Shivrampally (Nursery),LIT,40x40,http://www.prakasharts.com/code/2952 Shamshabad Airport Road Fg City 40x40_4 copy.JPG,1_O51566_thumb_front.jpg
87,Shamshabad Airport Rd,NH 7 Shamshabad VH    Temple ftf. Hyd,LIT,40x40,http://www.prakasharts.com/code/2955 Shamshabad Veerhanuman Temple Fg Hyderabad City 40x40_UNINOR.JPG,1_O51567_thumb_front.jpg
88,Shamshabad Airport Rd,NH 7 Shamshabad VH    Temple ftf. Airport,LIT,40x40,http://www.prakasharts.com/code/2956. Shamshabad Hanumantemple Fg;Airport 40x40_Radio Mirchi.JPG,1_O51568_thumb_front.jpg
89,Shamshabad Airport Rd,NH 7 Shamshabad    (Scrap depot) ftf. Airport,LIT,40x40,http://www.prakasharts.com/code/2958. Shamshabad Airport NH-7 NH 7 Shamshabad (Scrap depot)  fg; airport 40x40.jpg,1_O51569_thumb_front.jpg
90,Shamshabad Airport Rd,NH 7 Shamshabad    (Scrap depot) ftf. Hyd,LIT,40x40,http://www.prakasharts.com/code/2957. Shamshabad Airport NH-7 NH 7 Shamshabad (Scrap depot)  fg; city 40x40.jpg,1_O51570_thumb_front.jpg
93,Shamshabad Airport Rd,NH 7 near Trumpet; br    ftf. Airport,LIT,40x40,http://www.prakasharts.com/code/2961.JPG,1_O51571_thumb_front.jpg
94,Shamshabad Airport Rd,NH 7 near Trumpet; br    ftf. Hyd; Shamshabad,LIT,40x40,http://www.prakasharts.com/code/2962.JPG,1_O51572_thumb_front.jpg
95,Shamshabad Airport Rd,NH 7 near Trumpet; br    ftf. Trumpet road,LIT,40x40,http://www.prakasharts.com/code/2963  Shmshabad fg;Trumpet Bridge city 40x40.JPG,1_O51573_thumb_front.jpg
96,Shamshabad Airport Rd,Airport Rd diversion    ftf. Hyd; Shamshabad,LIT,40x40,http://www.prakasharts.com/code/2964.Shamhabad Airport Entrance Fg; City 40x40_TOSHIBA.JPG,1_O51574_thumb_front.jpg
97,Shamshabad Airport Rd,NH 7 Airport Rd    diversion ftf. Airport; Bridge,LIT,40x40,http://www.prakasharts.com/code/2965.jpg,1_O51575_thumb_front.jpg
98,Airport Road,Bridge Nr Arch ftf.    City             [1],LIT,40x40,http://www.prakasharts.com/code/2972 Shamshabad nr Arch fg. Hyd 40x40-NEW LIC_2.jpg,1_O51576_thumb_front.jpg
99,Airport Road,Bridge near Arch ftf.    Airport           [1],LIT,40x40,http://www.prakasharts.com/code/2973 Shamshabad Nr. Arch Fg; Airport 40x40_Vodafone (2).JPG,1_O51577_thumb_front.jpg
100,Airport Road,Bridge near Arch ftf.    Hyd; NH 7          [2],LIT,40x40,http://www.prakasharts.com/code/2974.JPG,1_O51578_thumb_front.jpg
101,Airport Road,Bridge near Arch ftf.    Airport               [2],LIT,40x40,http://www.prakasharts.com/code/2975 Shamshabad Baburao Site Fg; Airport 40x40_Yashoda.JPG,1_O51579_thumb_front.jpg
102,Airport Road,Bridge near Arch Rly    trackftf. Airport             [3],LIT,40x40,http://www.prakasharts.com/code/2999.JPG,1_O51580_thumb_front.jpg
103,Airport Road,Inside Ashram ftf.    Hyd. NH 7         [1],LIT,40x40,http://www.prakasharts.com/code/2978 Shamshabad Asramam Fg;Hyd 40x40_Swamyji.JPG,1_O51581_thumb_front.jpg
104,Airport Road,Inside Ashram ftf.    Airport              [1],LIT,40x40,http://www.prakasharts.com/code/2979. Shamshabad Inside Ashramam Fg; Airport 40x40 --YREACH.JPG,1_O51582_thumb_front.jpg
105,Airport Road,Inside Ashram ftf.    Hyd. NH 7            [2],LIT,40x40,http://www.prakasharts.com/code/2980 Shamshabad Asramam 40x40 Fg;Hyd.JPG,1_O51583_thumb_front.jpg
106,Airport Road,Inside Ashram ftf.    Airport                 [2],LIT,40x40,http://www.prakasharts.com/code/2981.JPG,1_O51584_thumb_front.jpg
107,Airport Road,opp. Ashram (1st Row)    ftf. Airport      [1],LIT,40x40,http://www.prakasharts.com/code/2983 Airport_1 Opp. Ashram fg. Airport 40x40_(R).jpg,1_O51585_thumb_front.jpg
108,Airport Road,opp. Ashram (2nd Row)    ftf. Airport      [2],LIT,40x40,http://www.prakasharts.com/code/2984Airport_1 Opp. Ashram fg. Airport 40x40_(R).jpg,1_O51586_thumb_front.jpg
109,Airport Road,opp. Ashram (ast Row)    ftf. Hyd/ NH 7.      [1],LIT,40x40,http://www.prakasharts.com/code/2987 Airport_1  Airport Road Opp. Ashram2 fg. City 40x40 _4.JPG,1_O51587_thumb_front.jpg
110,Airport Road,opp. Ashram (2nd Row)    ftf. Hyd/ NH 7.      [2],LIT,40x40,http://www.prakasharts.com/code/2988 Airport_1  Airport Road Opp. Ashram2 fg. City 40x40 _4 (1).JPG,1_O51588_thumb_front.jpg
111,Airport Road,Airport Road ftf.    Airport       [1]   (Grampanchayath),LIT,40x40,http://www.prakasharts.com/code/2991Shamshabad Granpanchayath Fg; Airport 40x40-Apollo.JPG,1_O51589_thumb_front.jpg
,Airport Road,Airport road Ashram    ftf. Hyd/ NH 7  [1]  (Grampanchayath),LIT,40x40,http://www.prakasharts.com/code/2992 Shamshabad Airport Road Grampanchayath site fg; City 40x40_Contact.JPG,1_O51590_thumb_front.jpg
113,Airport Road,Airport road to Trumphet       [2]    (GP) nr Rly br,LIT,40x40,http://www.prakasharts.com/code/2989.JPG,1_O51591_thumb_front.jpg
114,Airport Road,Airport road Ashram    ftf. Hyd/ NH 7  [2]    (Grampanchayath),LIT,40x40,http://www.prakasharts.com/code/2999.JPG,1_O51592_thumb_front.jpg
115,Airport Road,towards Hiway near    Rly track ftf. Airport,LIT,40x40,http://www.prakasharts.com/#,1_O51593_thumb_front.jpg
